平台名称,类型,提交入口/网址,推荐用途,是否通常需要登录,是否可能付费,计数条件,避坑说明,来源
BetaPage / PitchWall,产品 / SaaS / 工具目录,https://betapage.co/submit-startup,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,入口可能跳转 PitchWall，需要人工确认。,实测记录
DevHunt,产品 / SaaS / 工具目录,https://devhunt.org/submit,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
Launching Next,产品 / SaaS / 工具目录,https://www.launchingnext.com/submit/,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,只有 Submission Received 或明确回执才计数；进入 $99 升级页不算。,实测记录
MicroLaunch,产品 / SaaS / 工具目录,https://microlaunch.net/launch,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
PeerList,产品 / SaaS / 工具目录,https://peerlist.io/projects/new,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
SaaSHub,产品 / SaaS / 工具目录,https://www.saashub.com/submit,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,可能已有 managed listing；existing-active 可记录但不算当天新提交。,实测记录
SEO SiteCheckup,技术检测 / 公开资料页,https://seositecheckup.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开 SEO audit/report 页面可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是 SEO 检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
StartupRanked,产品 / SaaS / 工具目录,https://www.startupranked.com/add-startup,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
StatsCrop,产品 / SaaS / 工具目录,https://statscrop.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
The Useful Website,产品 / SaaS / 工具目录,https://theuseful.website,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
TwelveTools,产品 / SaaS / 工具目录,https://twelvetools.com/submit,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
Uneed,产品 / SaaS / 工具目录,https://www.uneed.best/submit-a-tool,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,可能只是 waiting-line/edit 草稿；ready=false 或 launchDate=null 不计数；付费插队跳过。,实测记录
WhatsMyDNS Propagation Checker,技术检测 / 公开资料页,https://whatsmydns.net,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开 DNS propagation 查询结果页可访问，页面内容包含目标域名；只按 DNS 资料页计数。,这是 DNS 查询页，不是产品推荐；注意不同记录类型会生成不同结果。,实测记录
AItoolonline,AI / 工具目录,https://www.aitoolonline.com/submit,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
Fazier,AI / 工具目录,https://fazier.com/launch,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,可能要求评论、badge、英文站、DR>0，不满足不计数。,实测记录
Futurepedia,AI / 工具目录,https://www.futurepedia.io/submit-tool,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
TheresAnAIForThat,AI / 工具目录,https://www.theresanaiforthat.com/submit/,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
Toolify,AI / 工具目录,https://www.toolify.ai/submit,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
TopAI.tools,AI / 工具目录,https://topai.tools/submit,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,出现 submitted / pending review / public listing / dashboard record / scheduled / Submission Received 等明确状态才计数。,注意登录、验证码、付费墙、badge 要求和重复提交。,实测记录
BlackListAlert,技术检测 / 公开资料页,https://blacklistalert.org,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
BuiltWith,技术检测 / 公开资料页,https://builtwith.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,结果页可能先返回生成中状态；确认最终页面或 URL 后再计数。,实测记录
CheckHost,技术检测 / 公开资料页,https://check-host.net,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
CriminalIP,技术检测 / 公开资料页,https://criminalip.io,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
CubDomain,技术检测 / 公开资料页,https://cubdomain.com,按自动化实测用于外链提交、公开资料页生成或技术检测验证,按平台而定,按平台而定,公开结果页可访问，最终 URL 或页面内容包含目标域名；只按技术资料页/公开资料页计数。,这是技术检测/公开资料页，不是产品推荐；结果要客观记录。,实测记录
